id,judul_romaji,judul_english,format,status,episodes,durasi_menit,musim,tahun_rilis,skor_rata2,skor_mean,popularitas,favorit,trending,jumlah_genre,genre,sumber_adaptasi,studio_utama,negara_asal,tag_top5,users_current,users_planning,users_completed,users_dropped,users_paused,users_repeating,suara_10,suara_20,suara_30,suara_40,suara_50,suara_60,suara_70,suara_80,suara_90,suara_100,skor,penonton_aktif,completion_rate,drop_rate,planning_ratio,total_suara,pct_suara_90plus,log_popularitas,log_favorit,tahun_sejak_2000,era
1614,Captain Tsubasa: Road to 2002,Captain Tsubasa,TV,FINISHED,52,24,FALL,2001,71.0,71.0,11238,217,0,2,Action|Sports,MANGA,,JP,Football|Shounen|Male Protagonist|Coming of Age|Primarily Teen Cast,297,1338,9138,280,185,0,25,20,69,134,445,868,1744,1349,659,458,71.0,9900,0.923030303030303,0.029730303673816096,0.1190603310197544,5771,0.193553976780454,4.050689027758881,2.3384564936046046,1,Sebelum 2015
1617,Massugu ni Ikou,Go Forward,TV,FINISHED,4,23,SUMMER,2003,62.0,64.0,1389,10,0,4,Comedy|Drama|Fantasy|Slice of Life,MANGA,Yumeta Company,JP,Animals|Male Protagonist|Shoujo|Anthropomorphism|Chibi,48,725,543,41,32,0,6,11,9,27,62,94,89,71,36,22,62.0,664,0.8177710843373494,0.0702054794520548,0.5219582433405328,427,0.1358313817330211,3.1427022457376155,1.041392685158225,3,Sebelum 2015
1618,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),,TV,FINISHED,26,25,SPRING,1999,60.0,63.0,2597,29,0,3,Action|Adventure|Sci-Fi,OTHER,,JP,Space|Primarily Female Cast|Female Protagonist|Time Manipulation,136,1787,471,92,111,0,14,7,9,16,60,76,60,55,33,17,60.0,810,0.5814814814814815,0.16341030195381884,0.6881016557566423,347,0.1440922190201729,3.4144719496293026,1.4771212547196624,-1,Sebelum 2015
1619,Negima!? Haru Special!?,Negima!? Magister Negi Magi: Spring,OVA,FINISHED,1,24,FALL,2006,65.0,66.0,4259,22,0,3,Comedy|Ecchi|Romance,ORIGINAL,Shaft,JP,Female Harem|School|Shounen|Urban Fantasy|Magic,109,1241,2795,55,59,0,14,20,33,58,200,361,525,260,98,82,65.0,3018,0.9261100066269052,0.01929824561403509,0.29138295374501055,1651,0.10902483343428225,3.629307640073749,1.3617278360175928,6,Sebelum 2015
1620,MAPS,MAPS,OVA,FINISHED,4,28,SUMMER,1994,52.0,54.0,1280,12,0,3,Adventure|Comedy|Sci-Fi,MANGA,Tokyo Movie Shinsha,JP,Female Protagonist|Aliens|Space|Ships,63,730,400,55,32,0,11,7,17,37,71,54,40,22,7,7,52.0,550,0.7272727272727273,0.12087912087912088,0.5703125,273,0.05128205128205128,3.1072099696478683,1.1139433523068367,-6,Sebelum 2015
1621,Haru no Ashioto The Movie: Ourin Dakkan,,OVA,FINISHED,1,20,SPRING,2006,42.0,43.0,955,4,0,2,Action|Comedy,VISUAL_NOVEL,,JP,School|Baseball|Primarily Female Cast|Teacher,45,334,525,31,20,0,34,49,72,70,75,51,26,20,8,8,42.0,621,0.8454106280193237,0.05575539568345324,0.34973821989528797,413,0.0387409200968523,2.9800033715837464,0.6989700043360189,6,Sebelum 2015
1622,Kaidoumaru,KAI DOH MARU,OVA,FINISHED,1,46,FALL,2001,48.0,49.0,1895,8,0,2,Action|Fantasy,ORIGINAL,,JP,Magic|Historical|Swordplay,48,947,831,42,27,0,37,39,52,83,147,113,73,26,12,9,48.0,948,0.8765822784810127,0.048109965635738834,0.49973614775725594,591,0.03553299492385787,3.277609214304091,0.9542425094393249,1,Sebelum 2015
1623,G-on Riders,,TV,FINISHED,13,24,SUMMER,2002,55.0,56.0,1889,15,0,4,Comedy|Drama|Ecchi|Sci-Fi,ORIGINAL,Shaft,JP,Parody|Magic|Henshin|Female Harem|School,108,1025,587,103,66,0,22,43,26,47,64,70,50,61,33,29,55.0,864,0.6793981481481481,0.1492753623188406,0.5426151402858655,445,0.1393258426966292,3.2762319579218335,1.2041199826559248,2,Sebelum 2015
1626,Genma Taisen,Harmagedon,MOVIE,FINISHED,1,131,WINTER,1983,51.0,52.0,3243,24,0,6,Action|Adventure|Comedy|Drama|Mecha|Sci-Fi,MANGA,MADHOUSE,JP,Super Power|Cosmic Horror|Male Protagonist|Aliens|Environmental,67,1834,1261,47,34,0,50,64,115,119,189,121,116,117,36,23,51.0,1409,0.8949609652235628,0.035932721712538224,0.5655257477644157,950,0.06210526315789474,3.5109469486729727,1.3979400086720377,-17,Sebelum 2015
1627,Choushin Hime Dangaizer 3,Dangaizer 3,OVA,FINISHED,4,30,FALL,1999,54.0,56.0,1692,20,0,4,Adventure|Ecchi|Mecha|Sci-Fi,ORIGINAL,Chaos Project,JP,Robots|Female Protagonist|Nudity|Henshin|Primarily Female Cast,97,997,522,51,25,0,20,13,36,55,82,42,48,44,37,20,54.0,695,0.7510791366906475,0.08900523560209424,0.5892434988179669,397,0.14357682619647355,3.228400358703005,1.3222192947339193,-1,Sebelum 2015
1628,Maou Dante,Demon Lord Dante,TV,FINISHED,13,22,SUMMER,2002,56.0,57.0,3033,26,0,3,Action|Horror|Supernatural,MANGA,Magic Bus,JP,Demons|Urban Fantasy|Shounen|Henshin|Male Protagonist,161,1456,1190,143,83,0,35,25,60,118,129,176,116,102,77,25,56.0,1577,0.7545973367152822,0.1072768192048012,0.4800527530497857,863,0.11819235225955968,3.4818724103106633,1.4313637641589874,2,Sebelum 2015
1629,Devilman Lady,The Devil Lady,TV,FINISHED,26,25,FALL,1998,64.0,65.0,8361,129,0,5,Action|Drama|Horror|Psychological|Supernatural,MANGA,TMS Entertainment,JP,Bisexual|Female Protagonist|Demons|Body Horror|Urban Fantasy,485,5302,2040,294,240,0,25,27,50,79,192,305,296,237,162,72,64.0,3059,0.6668846028113763,0.12596401028277635,0.6341346728860184,1445,0.1619377162629758,3.9222582234329666,2.113943352306837,-2,Sebelum 2015
1630,Yousei Hime Ren,Elf Princess Rane,OVA,FINISHED,2,30,FALL,1995,57.0,58.0,1701,10,0,3,Adventure|Comedy|Ecchi,ORIGINAL,Dangun Pictures,JP,Elf|Slapstick|Travel|Magic|Fairy,47,734,853,39,28,0,18,20,39,73,138,102,90,98,36,28,57.0,967,0.8821096173733195,0.043721973094170405,0.4315108759553204,642,0.09968847352024922,3.230704313612569,1.041392685158225,-5,Sebelum 2015
1637,Kaze to Ki no Uta SANCTUS: Sei Naru Kana,The Poem of Wind and Trees,OVA,FINISHED,1,65,FALL,1987,66.0,66.0,5596,140,0,2,Drama|Romance,MANGA,Triangle Staff,JP,Boys' Love|Historical|Shoujo|Foreign|LGBTQ+ Themes,71,2588,2861,41,35,0,37,44,56,94,206,317,428,332,232,125,66.0,3008,0.9511303191489362,0.014128187456926258,0.4624731951393853,1871,0.190807055050775,3.74787770581979,2.1492191126553797,-13,Sebelum 2015
1638,Peter Pan no Bouken,Peter Pan & Wendy,TV,FINISHED,41,23,WINTER,1989,59.0,61.0,1649,12,0,2,Adventure|Fantasy,OTHER,Nippon Animation,JP,Classic Literature|Swordplay|Episodic|Kids|Robots,99,799,616,74,61,0,10,10,16,22,78,107,97,43,29,21,59.0,850,0.7247058823529412,0.1072463768115942,0.4845360824742268,433,0.11547344110854503,3.217220655644519,1.1139433523068367,-11,Sebelum 2015
1641,Tetsu no Shoujo JUN,Iron Virgin Jun,OVA,FINISHED,1,46,SUMMER,1992,40.0,39.0,1272,4,0,3,Action|Comedy|Fantasy,MANGA,Dynamic Planning,JP,Super Power|Family Life|Martial Arts|Female Protagonist|Ninja,38,532,659,22,21,0,61,63,86,87,83,58,30,17,6,6,40.0,740,0.8905405405405405,0.032305433186490456,0.41823899371069184,497,0.02414486921529175,3.104487111312395,0.6989700043360189,-8,Sebelum 2015
1642,Sugar Sugar Rune,,TV,FINISHED,51,24,SUMMER,2005,74.0,74.0,13347,442,0,7,Adventure|Comedy|Drama|Fantasy|Mahou Shoujo|Romance|Slice of Life,MANGA,Studio Pierrot,JP,Magic|Shoujo|Witch|Female Protagonist|Royal Affairs,898,6041,5485,420,503,0,27,12,50,75,219,382,780,677,635,422,74.0,7306,0.7507528059129482,0.07112616426756986,0.45261107364950925,3279,0.32235437633424824,4.1253836604677065,2.6464037262230695,5,Sebelum 2015
1643,Sailor Victory,,OVA,FINISHED,2,27,SUMMER,1995,57.0,59.0,1186,7,0,2,Mecha|Sci-Fi,ORIGINAL,Animate Film,JP,Super Robot|Female Protagonist|Henshin|Primarily Female Cast|Tokusatsu,45,531,558,27,25,0,12,20,38,41,57,72,54,76,34,23,57.0,655,0.8519083969465648,0.046153846153846156,0.4477234401349072,427,0.13348946135831383,3.074084689028244,0.9030899869919435,-5,Sebelum 2015
1644,Princess Rouge,Legend of the Last Labyrinth,OVA,FINISHED,2,30,FALL,1997,55.0,58.0,886,6,0,2,Fantasy|Romance,ORIGINAL,J.C.STAFF,JP,Amnesia|Male Protagonist|Female Protagonist|Magic,46,455,355,17,13,0,11,8,21,27,50,36,32,15,27,19,55.0,431,0.8236658932714617,0.0456989247311828,0.5135440180586908,246,0.18699186991869918,2.9474337218870508,0.8450980400142568,-3,Sebelum 2015
1645,Harlock Saga: Nibelung no Yubiwa,Harlock Saga: The Ring of the Nibelung,OVA,FINISHED,6,30,WINTER,1999,62.0,63.0,2055,12,0,3,Adventure|Drama|Sci-Fi,,,JP,Pirates|Aliens|Time Manipulation,58,963,948,54,32,0,16,16,22,42,77,141,164,101,51,26,62.0,1092,0.8681318681318682,0.05389221556886228,0.4686131386861314,656,0.1173780487804878,3.312811826212088,1.1139433523068367,-1,Sebelum 2015
1648,UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage,UFO Ultramaiden Valkyrie 4: Banquet of Time,OVA,FINISHED,2,24,SUMMER,2006,64.0,66.0,1542,15,0,3,Comedy|Romance|Sci-Fi,MANGA,,JP,,50,516,908,32,36,0,16,9,13,23,78,101,115,112,54,28,64.0,1026,0.884990253411306,0.03404255319148936,0.3346303501945525,549,0.1493624772313297,3.188084373714938,1.2041199826559248,6,Sebelum 2015
1650,Uchuu Senkan Yamato,Star Blazers: The Quest for Iscandar,TV,FINISHED,26,25,FALL,1974,71.0,72.0,10337,170,0,4,Action|Adventure|Drama|Sci-Fi,ORIGINAL,Office Academy,JP,Space|Space Opera|Aliens|Military|War,495,6559,2658,264,361,0,19,17,31,70,129,231,524,507,304,174,71.0,3778,0.7035468501852832,0.09034907597535935,0.6345167843668376,2006,0.2382851445663011,4.014394516273535,2.2329961103921536,-26,Sebelum 2015
1651,Uchuu Senkan Yamato 2,Star Blazers: The Comet Empire,TV,FINISHED,26,24,FALL,1978,71.0,73.0,2919,32,0,2,Drama|Sci-Fi,ORIGINAL,Academy Productions,JP,Military|Space Opera|Aliens|Space|Artificial Intelligence,104,1492,1188,73,62,0,8,10,20,19,52,89,211,205,148,73,71.0,1427,0.8325157673440785,0.05789056304520222,0.5111339499828709,835,0.26467065868263473,3.4652340949880145,1.5185139398778875,-22,Sebelum 2015
1652,Uchuu Senkan Yamato III,Star Blazers: The Bolar Wars,TV,FINISHED,25,23,FALL,1980,68.0,70.0,2349,23,0,2,Drama|Sci-Fi,ORIGINAL,Tokyo Douga,JP,Space Opera|Military|Space|Aliens,95,1212,911,71,60,0,14,6,20,15,48,83,168,120,79,64,68.0,1137,0.8012313104661389,0.07230142566191446,0.5159642401021711,617,0.23176661264181522,3.370883016777606,1.380211241711606,-20,Sebelum 2015
1654,Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,Kashimashi: Girl Meets Girl OVA,OVA,FINISHED,1,26,FALL,2006,62.0,63.0,3341,21,0,4,Comedy|Drama|Romance|Slice of Life,MANGA,,JP,LGBTQ+ Themes|Tomboy|Female Protagonist|Primarily Female Cast|School,66,711,2483,44,37,0,43,41,67,104,216,357,398,232,134,83,62.0,2630,0.944106463878327,0.01741195092995647,0.2128105357677342,1675,0.12955223880597014,3.523876475638131,1.3424226808222062,6,Sebelum 2015
1655,Nerima Daikon Brothers,Nerima Daikon Brothers,TV,FINISHED,12,24,WINTER,2006,66.0,68.0,2121,26,0,2,Comedy|Music,ORIGINAL,Studio Hibari,JP,Musical Theater|Agriculture|Meta|Police|Parody,70,1072,757,140,82,0,11,11,21,36,71,85,124,132,78,51,66.0,1049,0.7216396568160153,0.15607580824972128,0.5054219707685054,620,0.20806451612903226,3.3265406685165617,1.4313637641589874,6,Sebelum 2015
1656,PostPet Momobin,,TV_SHORT,FINISHED,24,3,SUMMER,2004,42.0,43.0,188,0,0,1,Comedy,,,JP,Kids,8,55,94,26,5,0,5,3,17,8,10,2,4,4,1,3,42.0,133,0.706766917293233,0.21666666666666667,0.2925531914893617,57,0.07017543859649122,2.27415784926368,0.0,4,Sebelum 2015
1657,Byston Well Monogatari: Garzey no Tsubasa,Tales of Byston Well: Garzey's Wing,OVA,FINISHED,3,30,FALL,1996,38.0,38.0,6411,58,0,2,Adventure|Fantasy,OTHER,J.C.STAFF,JP,Isekai|Philosophy|Alternate Universe|Surreal Comedy|War,157,2845,2987,264,158,0,578,467,392,279,143,110,101,148,84,201,38.0,3566,0.837633202467751,0.08120578283605044,0.44376852285134927,2503,0.1138633639632441,3.8069257768837317,1.7708520116421442,-4,Sebelum 2015
1658,Karakuri no Kimi,Puppet Princess,OVA,FINISHED,1,42,SPRING,2000,64.0,65.0,4125,50,0,5,Action|Comedy|Fantasy|Horror|Supernatural,MANGA,TMS Entertainment,JP,Historical|Gore|Ninja|Swordplay|Body Horror,117,2128,1812,37,31,0,11,16,39,69,190,309,361,195,110,50,64.0,1997,0.9073610415623435,0.020010816657652784,0.5158787878787878,1350,0.11851851851851852,3.6154239528859438,1.7075701760979363,0,Sebelum 2015
1659,Mai-Otome Specials,,SPECIAL,FINISHED,9,3,WINTER,2006,62.0,65.0,1242,4,0,3,Comedy|Drama|Fantasy,ORIGINAL,,JP,Female Protagonist|Magic|Kuudere,25,351,819,24,23,0,8,12,8,16,62,97,136,74,28,17,62.0,891,0.9191919191919192,0.028469750889679714,0.2826086956521739,458,0.0982532751091703,3.0941215958405612,0.6989700043360189,6,Sebelum 2015
1660,Kurogane Communication,Kurogane Communication,TV_SHORT,FINISHED,24,15,FALL,1998,63.0,66.0,2263,19,0,4,Action|Adventure|Drama|Sci-Fi,MANGA,APPP,JP,Robots|Post-Apocalyptic|Artificial Intelligence|Urban|Female Protagonist,107,1416,560,108,72,0,8,10,10,29,52,91,85,78,67,18,63.0,847,0.6611570247933884,0.16167664670658682,0.6257180733539549,448,0.18973214285714285,3.3546845539547285,1.3010299956639813,-2,Sebelum 2015
1661,Cutey Honey,Cutie Honey,TV,FINISHED,25,25,FALL,1973,60.0,61.0,7710,105,0,5,Action|Adventure|Ecchi|Mahou Shoujo|Sci-Fi,MANGA,Toei Animation,JP,Female Protagonist|Episodic|Shounen|Henshin|Revenge,423,4695,1916,335,341,0,34,47,74,106,224,303,292,197,108,64,60.0,3015,0.6354892205638474,0.14882274544646823,0.6089494163424124,1449,0.11870255348516218,3.8870543780509568,2.0253058652647704,-27,Sebelum 2015
1662,Space Fantasia 2001 Nights,,OVA,FINISHED,1,57,SUMMER,1987,56.0,58.0,1561,12,0,1,Sci-Fi,MANGA,,JP,Space|Seinen|Time Skip,31,864,626,21,19,0,13,19,29,34,77,91,93,55,14,20,56.0,697,0.8981348637015782,0.03245749613601236,0.5534913516976298,445,0.07640449438202247,3.1934029030624176,1.1139433523068367,-13,Sebelum 2015
1663,Haha wo Tazunete Sanzenri,3000 Leagues in Search of Mother,TV,FINISHED,52,26,WINTER,1976,72.0,73.0,4977,99,1,2,Adventure|Drama,OTHER,Nippon Animation,JP,Classic Literature|Historical|Foreign|Male Protagonist|Kids,208,2799,1680,146,144,0,14,6,14,29,95,172,250,249,215,149,72.0,2178,0.7713498622589532,0.07995618838992333,0.5623869801084991,1193,0.30511316010058676,3.696967640744023,2.0,-24,Sebelum 2015
1664,Babel Nisei (2001),Babel II: Beyond Infinity,TV,FINISHED,13,24,FALL,2001,57.0,59.0,1250,10,0,5,Action|Adventure|Mystery|Sci-Fi|Supernatural,MANGA,Vega Entertainment,JP,Shounen|Super Power|Robots|Military|Conspiracy,70,581,482,73,44,0,17,10,21,35,48,69,56,43,43,5,57.0,669,0.7204783258594918,0.13153153153153152,0.4648,347,0.138328530259366,3.0969100130080562,1.041392685158225,1,Sebelum 2015
1665,Babel Nisei (1992),Babel II,OVA,FINISHED,4,29,WINTER,1992,58.0,60.0,1304,13,0,3,Action|Mecha|Sci-Fi,MANGA,,JP,Shounen|Super Power|Male Protagonist|Cult|Foreign,60,587,587,47,23,0,11,10,28,53,57,94,47,58,11,46,58.0,717,0.8186889818688982,0.07413249211356467,0.45015337423312884,415,0.13734939759036144,3.1152775913959014,1.146128035678238,-8,Sebelum 2015
1666,Babel Nisei (1973),,TV,FINISHED,39,25,WINTER,1973,57.0,61.0,876,10,0,4,Adventure|Mecha|Sci-Fi|Supernatural,MANGA,Toei Animation,JP,Shounen|Robots|Super Power|Military|Conspiracy,43,447,257,84,45,0,10,4,14,11,31,38,31,37,9,19,57.0,429,0.5990675990675991,0.24633431085043989,0.5102739726027398,204,0.13725490196078433,2.9425041061680806,1.041392685158225,-27,Sebelum 2015
1667,Barom One,Barom One,TV,FINISHED,13,24,FALL,2002,47.0,48.0,1050,4,0,3,Action|Sci-Fi|Supernatural,MANGA,E&G Films,JP,Shounen|Henshin|Gore|Dissociative Identities|Superhero,57,528,373,62,30,0,29,34,25,41,38,24,12,7,47,9,47.0,522,0.7145593869731801,0.1425287356321839,0.5028571428571429,266,0.21052631578947367,3.0211892990699383,0.6989700043360189,2,Sebelum 2015
1668,Bakuten Shoot Beyblade G Revolution,Beyblade G Revolution,TV,FINISHED,52,20,WINTER,2003,67.0,67.0,11470,167,0,5,Action|Adventure|Comedy|Sci-Fi|Sports,MANGA,Nippon Animation,JP,Primarily Male Cast|Proxy Battle|Primarily Child Cast|Super Power|Kids,262,1074,9769,251,114,0,42,64,142,244,705,1183,1668,927,541,425,67.0,10396,0.939688341669873,0.025049900199600798,0.0936355710549259,5941,0.16259888907591313,4.059563417901268,2.225309281725863,3,Sebelum 2015
1669,Bakuten Shoot Beyblade 2002,Beyblade V-Force,TV,FINISHED,51,21,WINTER,2002,64.0,64.0,13994,135,1,5,Action|Adventure|Comedy|Sci-Fi|Sports,MANGA,Nippon Animation,JP,Primarily Male Cast|CGI|Proxy Battle|Primarily Child Cast|Kids,328,1177,11993,346,150,0,71,94,222,410,1054,1687,1982,968,528,343,64.0,12817,0.9357103846453928,0.028041170273117758,0.08410747463198513,7359,0.1183584726185623,4.145941869576122,2.1335389083702174,2,Sebelum 2015
1670,Bakuten Shoot Beyblade THE MOVIE: Gekitou!! Takao VS Daichi,Beyblade the Movie: Decisive Battle! Takao VS Daichi,MOVIE,FINISHED,1,70,SUMMER,2002,64.0,64.0,3586,25,0,5,Action|Adventure|Comedy|Sci-Fi|Sports,MANGA,Nippon Animation,JP,Male Protagonist|Proxy Battle|Kids,73,564,2866,59,24,0,21,27,59,89,239,335,385,195,189,82,64.0,3022,0.9483785572468564,0.02017094017094017,0.15727830451756833,1621,0.16718075262183837,3.554610285226164,1.414973347970818,2,Sebelum 2015
1671,Soreyuke! Uchuu Senkan Yamamoto Yohko II,Starship Girl Yamamoto Yohko II,OVA,FINISHED,3,30,SUMMER,1997,60.0,62.0,1375,9,0,3,Action|Adventure|Sci-Fi,OTHER,J.C.STAFF,JP,Female Protagonist|Space,52,645,623,28,27,0,9,7,17,31,58,97,118,85,17,5,60.0,730,0.8534246575342466,0.043010752688172046,0.4690909090909091,444,0.04954954954954955,3.1383026981662816,1.0,-3,Sebelum 2015
1672,Bomberman B-Daman Bakugaiden,Bomber Man & Marbleman's Explosive Side Story,TV,FINISHED,48,26,WINTER,1998,61.0,64.0,905,12,0,2,Comedy|Sci-Fi,VIDEO_GAME,MADHOUSE,JP,Kids|Space,62,282,459,79,23,0,22,2,22,19,39,45,56,69,42,20,61.0,623,0.7367576243980738,0.14684014869888476,0.3116022099447514,336,0.18452380952380953,2.9566485792052033,1.1139433523068367,-2,Sebelum 2015
1673,Bomberman B-Daman Bakugaiden V,,TV,FINISHED,50,26,WINTER,1999,61.0,65.0,744,10,0,1,Sci-Fi,VIDEO_GAME,MADHOUSE,JP,Kids,46,275,343,55,25,0,11,10,10,11,26,39,38,36,35,23,61.0,469,0.7313432835820896,0.13819095477386933,0.3696236559139785,239,0.24267782426778242,2.8715729355458786,1.041392685158225,-1,Sebelum 2015
1674,Captain Tsubasa J,,TV,FINISHED,47,27,FALL,1994,69.0,69.0,5780,71,0,1,Sports,MANGA,Studio Comet,JP,Shounen|Male Protagonist|Football,120,808,4619,133,100,0,15,12,42,82,288,500,915,533,305,181,69.0,4972,0.9290024135156878,0.02798821548821549,0.1397923875432526,2873,0.16916115558649494,3.761927838420529,1.8573324964312685,-6,Sebelum 2015
1675,Chou Robot Seimeitai Transformers Micron Densetsu,Transformers: Armada,TV,FINISHED,52,24,WINTER,2003,66.0,68.0,2975,79,0,3,Action|Mecha|Sci-Fi,OTHER,Actas,JP,Robots|Aliens|Cars,209,656,1848,152,110,0,17,13,26,53,125,211,331,232,135,66,66.0,2319,0.796895213454075,0.076,0.22050420168067228,1209,0.1662531017369727,3.4734869700645685,1.9030899869919435,3,Sebelum 2015
1676,Cosmo Warrior Zero,Cosmo Warrior Zero,TV,FINISHED,13,25,SUMMER,2001,63.0,66.0,1934,25,0,3,Action|Adventure|Sci-Fi,VIDEO_GAME,Vega Entertainment,JP,Military|Space|Space Opera|Robots|Pirates,80,976,746,83,49,0,12,13,20,29,60,113,96,87,70,36,63.0,958,0.778705636743215,0.10012062726176116,0.5046535677352637,536,0.19776119402985073,3.286456469746983,1.414973347970818,1,Sebelum 2015
1677,Young Harlock o Oe! Cosmo Warrior Zero Gaiden,,TV,FINISHED,2,24,SUMMER,2001,60.0,62.0,1011,9,0,2,Drama|Sci-Fi,VIDEO_GAME,Vega Entertainment,JP,Pirates|Space,31,425,507,30,18,0,14,8,22,26,38,65,53,57,48,13,60.0,586,0.8651877133105802,0.055865921787709494,0.42037586547972305,344,0.17732558139534885,3.004751155591001,1.0,1,Sebelum 2015
1678,Cyborg 009: THE CYBORG SOLDIER,Cyborg 009: The Cyborg Soldier,TV,FINISHED,51,25,FALL,2001,70.0,70.0,8148,155,0,4,Action|Adventure|Mecha|Sci-Fi,MANGA,Vistec Entertainment,JP,Superhero|Cyborg|Primarily Adult Cast|Super Power|Shounen,441,3927,2916,415,449,0,16,11,31,44,160,330,564,411,263,106,70.0,4221,0.6908315565031983,0.12458721104773342,0.48195876288659795,1936,0.190599173553719,3.9110510203281263,2.1931245983544616,1,Sebelum 2015
1679,Green Green Character DVD,,OVA,FINISHED,3,9,FALL,2003,54.0,54.0,2044,10,0,4,Comedy|Ecchi|Romance|Slice of Life,VISUAL_NOVEL,,JP,Female Harem|Primarily Female Cast|Nudity,44,491,1428,44,37,0,37,40,55,101,161,174,139,59,32,27,54.0,1553,0.9195106245975532,0.029891304347826088,0.24021526418786693,825,0.07151515151515152,3.3104808914626753,1.041392685158225,3,Sebelum 2015
1681,Brave Story,Brave Story,MOVIE,FINISHED,1,112,SUMMER,2006,70.0,70.0,9689,113,1,4,Action|Adventure|Fantasy|Supernatural,OTHER,GONZO,JP,Isekai|Kids|Male Protagonist|Anthropomorphism|Travel,272,4104,5138,86,89,0,29,23,56,129,313,530,992,740,456,260,70.0,5585,0.9199641897940913,0.016462480857580397,0.4235731241614202,3528,0.20294784580498867,3.9862789559059912,2.0569048513364727,6,Sebelum 2015
1682,Baldr Force Exe Resolution,Baldr Force EXE,OVA,FINISHED,4,30,FALL,2006,57.0,58.0,3822,18,0,4,Action|Drama|Mecha|Sci-Fi,VISUAL_NOVEL,Satelight,JP,Cyberpunk|Robots|Virtual World|Gore|CGI,170,1522,1892,146,92,0,44,45,90,143,215,263,272,162,94,30,57.0,2300,0.8226086956521739,0.07163886162904809,0.39822082679225534,1358,0.09131075110456553,3.582290682718994,1.2787536009528289,6,Sebelum 2015
1683,Di Gi Charat Nyo,Di Gi Charat Nyo,TV_SHORT,FINISHED,104,12,SPRING,2003,67.0,69.0,2257,39,0,3,Comedy|Fantasy|Sci-Fi,,MADHOUSE,JP,Chibi|Surreal Comedy|Kemonomimi|Aliens|Female Protagonist,173,964,810,136,174,0,11,14,17,29,73,82,137,119,98,55,67.0,1293,0.6264501160092807,0.14376321353065538,0.42711564023039433,635,0.2409448818897638,3.353531559077762,1.6020599913279625,3,Sebelum 2015
1684,Dotto KONI-chan,,TV,FINISHED,26,25,FALL,2000,68.0,71.0,1617,27,0,1,Comedy,ORIGINAL,Shaft,JP,Surreal Comedy|Episodic|Parody|Nudity|Tokusatsu,81,803,603,79,51,0,13,2,8,21,32,62,88,94,76,44,68.0,814,0.7407862407862408,0.1158357771260997,0.4965986394557823,440,0.2727272727272727,3.208710019906401,1.4471580313422192,0,Sebelum 2015
1685,Duel Masters,,TV,FINISHED,26,21,FALL,2002,53.0,53.0,4642,35,0,3,Action|Adventure|Comedy,MANGA,Studio Hibari,JP,Shounen|Card Battle|Isekai|Crossdressing,201,963,2927,405,146,0,86,114,166,248,417,398,308,137,100,49,53.0,3679,0.795596629518891,0.12154861944777912,0.2074536837570013,2023,0.07365299060800791,3.666705136119899,1.5563025007672873,2,Sebelum 2015
1686,BLEACH: MEMORIES OF NOBODY,Bleach the Movie: Memories of Nobody,MOVIE,FINISHED,1,87,FALL,2006,71.0,71.0,47024,499,0,4,Action|Adventure|Drama|Supernatural,ORIGINAL,Studio Pierrot,JP,Super Power|Afterlife|Shounen|Swordplay|Male Protagonist,734,5571,40358,161,200,0,111,133,356,661,1961,3503,7156,5196,2720,1835,71.0,41453,0.9735845415289605,0.003973444556874553,0.11847141884994897,23632,0.19274712254570076,4.672319568728537,2.6989700043360187,6,Sebelum 2015
1688,Nanatsu-iro★Drops,,TV,FINISHED,12,24,SUMMER,2007,66.0,67.0,4337,41,0,3,Fantasy|Mahou Shoujo|Romance,VISUAL_NOVEL,diomedéa,JP,Magic|School|Female Protagonist|Urban Fantasy|Primarily Teen Cast,156,1910,1892,253,126,0,17,23,39,65,182,254,321,253,137,102,66.0,2427,0.7795632468067573,0.11794871794871795,0.4403965875028822,1393,0.1715721464465183,3.637189422148762,1.6232492903979006,7,Sebelum 2015
1689,Byousoku 5 Centimeter,5 Centimeters per Second,MOVIE,FINISHED,3,22,WINTER,2007,72.0,72.0,245381,5007,10,3,Drama|Romance|Slice of Life,ORIGINAL,CoMix Wave,JP,Coming of Age|Heterosexual|Time Skip|Denpa|Travel,4430,67863,169683,1703,1702,0,1079,1086,2418,4151,8496,14249,26037,27329,18254,10227,72.0,177518,0.9558636307304048,0.009936634264175603,0.27656175498510477,113326,0.2513192030072534,5.389840932007078,3.6996643202023733,7,Sebelum 2015
1690,Bokurano,Bokurano,TV,FINISHED,24,23,SPRING,2007,73.0,73.0,45870,462,0,4,Drama|Mecha|Psychological|Sci-Fi,MANGA,GONZO,JP,Tragedy|Ensemble Cast|Super Robot|Death Game|Philosophy,1774,28668,12534,1365,1529,0,97,69,156,265,569,1121,2266,2799,1712,716,73.0,17202,0.7286362050924311,0.0982085042089359,0.6249836494440811,9770,0.24851586489252814,4.661528740131983,2.6655809910179533,7,Sebelum 2015
